attendance,study_hours,assignments,gpa,participation,risk_level
53,5,31,6.79,3,1
46,6,88,9.88,9,0
44,3,98,9.22,5,0
90,0,78,6.8,8,0
61,1,43,4.57,8,1
97,6,64,4.31,4,0
57,0,53,8.75,7,1
87,4,31,6.24,7,0
65,5,49,5.63,3,1
53,5,52,7.23,7,1
91,0,67,8.58,9,0
41,1,34,7.04,5,1
50,2,60,7.08,3,1
71,5,80,7.14,4,0
53,5,89,4.37,8,0
80,4,68,7.3,5,0
82,1,80,5.62,9,0
40,2,54,4.01,10,1
44,1,53,7.93,2,1
54,0,68,7.02,9,1
86,3,80,4.36,4,0
46,0,72,8.1,8,1
55,0,97,6.08,7,1
84,0,71,5.67,2,0
66,3,60,5.35,8,1
100,0,71,9.73,8,0
45,1,58,5.37,1,1
97,2,73,9.91,4,0
75,0,55,7.69,3,1
62,2,100,7.29,8,0
41,2,39,5.45,2,1
90,6,49,7.97,2,0
74,5,47,6.28,4,0
80,3,80,5.98,1,0
64,2,97,6.76,7,0
42,3,30,8.71,9,1
62,0,42,8.48,8,1
50,0,53,9.42,8,1
59,0,100,4.0,1,1
89,4,99,5.54,6,0
54,4,84,5.67,9,0
76,1,81,5.74,10,0
84,3,74,9.62,8,0
99,6,72,9.82,6,0
64,6,94,4.09,4,0
70,1,84,5.2,9,0
56,5,92,4.43,8,0
50,6,67,8.33,6,0
45,1,57,5.65,1,1
49,1,85,5.13,3,1
87,3,30,4.07,6,1
75,6,41,4.23,1,0
49,4,72,5.65,1,1
80,4,80,7.19,4,0
88,4,76,9.82,1,0
89,6,51,8.84,8,0
78,1,100,6.62,1,0
99,0,48,6.69,8,0
73,0,41,5.53,1,1
61,5,59,4.63,2,1
66,1,39,6.83,10,1
80,4,83,5.78,1,0
60,2,67,9.2,7,0
59,2,65,7.81,2,1
53,3,65,7.23,6,1
64,5,69,7.19,4,0
49,0,90,8.23,10,1
66,3,91,5.68,8,0
86,1,92,5.35,8,0
40,2,44,4.28,8,1
65,6,78,4.8,5,0
67,2,43,7.93,5,1
90,3,82,6.46,6,0
50,4,34,6.84,10,1
65,3,30,6.98,3,1
85,5,98,6.47,3,0
68,1,88,8.62,6,0
57,1,66,7.61,4,1
64,3,71,4.02,3,1
43,2,58,7.77,7,1
62,5,49,9.79,4,0
92,0,77,4.18,9,0
73,3,86,8.91,1,0
88,2,78,9.51,2,0
98,5,90,6.91,1,0
48,6,40,5.28,7,1
68,0,59,6.81,1,1
55,2,99,4.76,6,1
97,4,35,6.03,3,0
85,0,93,4.03,1,0
83,1,86,7.88,8,0
62,1,85,8.5,7,0
76,1,42,9.17,2,1
48,1,92,4.12,10,1
63,0,72,5.7,5,1
73,6,61,7.09,10,0
65,6,55,4.08,3,0
64,4,33,4.15,10,1
75,5,50,4.15,3,0
78,5,86,8.23,4,0
42,1,32,7.73,4,1
70,3,66,6.55,8,0
44,6,70,7.77,3,0
56,6,96,4.24,1,0
59,3,82,8.77,7,0
53,2,87,5.45,4,1
45,0,72,9.16,6,1
88,4,96,4.18,3,0
76,5,32,8.53,1,0
86,5,58,7.31,6,0
55,6,41,9.15,6,0
84,4,79,6.7,10,0
50,0,75,8.86,7,1
42,3,89,7.2,8,1
73,6,99,6.01,7,0
56,6,83,7.01,10,0
52,1,100,8.84,7,0
40,4,40,6.72,5,1
82,0,65,7.38,3,0
64,6,60,9.77,9,0
80,1,98,8.63,8,0
84,0,58,6.33,9,0
91,6,62,9.57,9,0
66,3,95,5.32,2,0
86,5,41,7.86,1,0
60,4,61,8.69,9,0
95,4,81,8.16,9,0
61,2,100,9.27,2,0
63,4,90,5.66,10,0
79,1,38,8.16,10,1
90,0,57,4.11,2,0
79,3,92,7.67,4,0
99,0,35,5.9,4,0
75,1,87,6.08,1,0
100,3,91,6.72,8,0
61,0,43,7.89,4,1
92,2,97,4.29,1,0
43,2,52,8.83,6,1
72,0,96,6.45,8,0
63,0,69,6.43,5,1
63,6,44,9.04,9,0
87,1,52,5.67,1,0
68,3,51,7.81,3,0
59,0,42,6.02,10,1
94,3,69,4.16,8,0
89,6,31,5.02,9,0
71,4,37,8.14,7,0
57,1,64,7.88,3,1
42,3,70,9.02,5,1
60,4,34,7.38,4,1
100,2,64,7.96,6,0
89,5,61,9.62,2,0
96,0,89,8.32,9,0
69,0,100,7.85,2,0
97,5,92,8.97,1,0
99,2,42,6.39,10,0
47,6,97,4.27,8,0
43,3,38,7.05,10,1
80,5,88,7.11,9,0
47,0,50,8.62,7,1
67,2,31,4.89,1,1
81,0,70,7.65,1,0
73,1,43,4.77,6,1
55,0,78,6.4,7,1
83,2,38,7.13,2,0
97,1,45,4.6,1,0
67,4,73,5.98,8,0
